NO_OF_FRAMES	3915
NO_OF_CAMERAS	20
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-01-29, 17:17:45.381	3507.33998200
DATA_INCLUDED	6D
BODY_NAMES	Tiago_Base
BODY_FILTERS	No filter
Frame	Time	Tiago_Base X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
44	0.43000	572.69110	183.79174	287.63855	0.42370	-0.26955	43.20156	0.31545	0.72894	0.68452	0.00849	-0.68456	0.72895	0.00217	-0.00470	-0.00739	0.99996	
45	0.44000	572.66963	183.82633	287.65967	0.42767	-0.27322	43.37574	0.33969	0.72686	0.68673	0.00859	-0.68677	0.72687	0.00215	-0.00477	-0.00746	0.99996	
46	0.45000	572.65227	183.86898	287.65025	0.43823	-0.27800	43.55505	0.36355	0.72470	0.68900	0.00879	-0.68904	0.72472	0.00220	-0.00485	-0.00765	0.99996	
47	0.46000	572.63728	183.91403	287.64397	0.43579	-0.27480	43.73576	0.34941	0.72253	0.69129	0.00872	-0.69133	0.72254	0.00218	-0.00480	-0.00761	0.99996	
48	0.47000	572.61085	183.92837	287.66573	0.43188	-0.28119	43.90963	0.34291	0.72043	0.69348	0.00876	-0.69351	0.72044	0.00203	-0.00491	-0.00754	0.99996	
49	0.48000	572.58767	183.96303	287.65600	0.43080	-0.27771	44.08530	0.33454	0.71830	0.69568	0.00871	-0.69572	0.71831	0.00203	-0.00485	-0.00752	0.99996	
50	0.49000	572.58333	184.00817	287.65454	0.44041	-0.28551	44.25898	0.33549	0.71618	0.69785	0.00893	-0.69789	0.71620	0.00203	-0.00498	-0.00769	0.99996	
51	0.50000	572.56758	184.05826	287.66544	0.43730	-0.28696	44.42671	0.34293	0.71414	0.69995	0.00892	-0.69999	0.71415	0.00194	-0.00501	-0.00763	0.99996	
52	0.51000	572.55903	184.09604	287.65578	0.43395	-0.28374	44.60947	0.33646	0.71190	0.70222	0.00884	-0.70226	0.71192	0.00191	-0.00495	-0.00757	0.99996	
53	0.52000	572.56034	184.13399	287.65504	0.42194	-0.28651	44.78627	0.33291	0.70973	0.70442	0.00874	-0.70446	0.70975	0.00170	-0.00500	-0.00736	0.99996	
54	0.53000	572.56730	184.14898	287.67648	0.42359	-0.28553	44.95665	0.33867	0.70763	0.70653	0.00875	-0.70656	0.70765	0.00171	-0.00498	-0.00739	0.99996	
55	0.54000	572.55894	184.19525	287.65689	0.42983	-0.28501	45.12735	0.34480	0.70552	0.70863	0.00883	-0.70867	0.70554	0.00177	-0.00497	-0.00750	0.99996	
56	0.55000	572.53612	184.23889	287.64157	0.42075	-0.27664	45.30114	0.33127	0.70337	0.71077	0.00862	-0.71081	0.70339	0.00173	-0.00483	-0.00734	0.99996	
57	0.56000	572.53971	184.28270	287.63299	0.41431	-0.27035	45.47398	0.31446	0.70123	0.71289	0.00846	-0.71292	0.70124	0.00171	-0.00472	-0.00723	0.99996	
58	0.57000	572.51157	184.32028	287.64091	0.42979	-0.26728	45.65452	0.30698	0.69898	0.71509	0.00863	-0.71513	0.69899	0.00191	-0.00466	-0.00750	0.99996	
59	0.58000	572.50862	184.35848	287.64290	0.44174	-0.27495	45.82449	0.32859	0.69685	0.71716	0.00887	-0.71720	0.69686	0.00193	-0.00480	-0.00771	0.99996	
60	0.59000	572.46250	184.41169	287.63791	0.43026	-0.26967	45.99841	0.32558	0.69467	0.71928	0.00867	-0.71931	0.69468	0.00183	-0.00471	-0.00751	0.99996	
61	0.60000	572.44051	184.46004	287.65884	0.42197	-0.26192	46.16852	0.33136	0.69253	0.72134	0.00848	-0.72137	0.69255	0.00180	-0.00457	-0.00736	0.99996	
62	0.61000	572.41692	184.51488	287.64960	0.41428	-0.26065	46.32980	0.34111	0.69050	0.72328	0.00837	-0.72332	0.69051	0.00170	-0.00455	-0.00723	0.99996	
63	0.62000	572.42618	184.53300	287.67296	0.41920	-0.26203	46.50771	0.32901	0.68825	0.72542	0.00846	-0.72546	0.68826	0.00172	-0.00457	-0.00732	0.99996	
64	0.63000	572.41989	184.55458	287.66028	0.42215	-0.27031	46.67955	0.33037	0.68607	0.72748	0.00860	-0.72752	0.68608	0.00162	-0.00472	-0.00737	0.99996	
65	0.64000	572.40020	184.56774	287.65348	0.42486	-0.26748	46.84607	0.32543	0.68395	0.72948	0.00860	-0.72951	0.68397	0.00167	-0.00467	-0.00741	0.99996	
66	0.65000	572.38382	184.63749	287.64667	0.42253	-0.26586	47.00747	0.32063	0.68190	0.73140	0.00856	-0.73143	0.68191	0.00163	-0.00464	-0.00737	0.99996	
